"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"China","Western Pacific","1 - Reliable",49.85,"2 - 4+ NGS facilities or equivalent",1335,0.03,"0 - High Income*"
"Clipperton Island","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Colombia","Americas","1 - Reliable",279.34,"2 - 4+ NGS facilities or equivalent",3311,22.77,"4 - Strengthen"
"Comoros","Africa","0 - Unreliable",8.86,"0 - 0 NGS facilities or equivalent",6,0.8,"1 - Test"
"Cook Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Costa Rica","Americas","1 - Reliable",194.2,"1 - 1-3 NGS facilities or equivalent",1121,306.94,"4 - Strengthen"
"Croatia","Europe","1 - Reliable",237.5,"1 - 1-3 NGS facilities or equivalent",7007,181.26,"0 - High Income*"
"Cuba","Americas","0 - Unreliable",457,"0 - 0 NGS facilities or equivalent",653,490.04,"3 - Leverage"
"Curaçao","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",688,187.7,"0 - High Income*"
"Cyprus","Europe","1 - Reliable",5361.32,"1 - 1-3 NGS facilities or equivalent",168,120.16,"0 - High Income*"
"Czech Republic","Europe","1 - Reliable",2964.16,"1 - 1-3 NGS facilities or equivalent",7847,26.38,"0 - High Income*"
"Czech Republic","Europe","1 - Reliable",2964.16,"1 - 1-3 NGS facilities or equivalent",3,26.38,"0 - High Income*"
"Demchok-Jammu & Kashmir Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Demchok-Jammu & Kashmir Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Democratic Republic of the Congo","Africa","1 - Reliable",2.5,"1 - 1-3 NGS facilities or equivalent",870,0.3,"4 - Strengthen"
"Denmark","Europe","1 - Reliable",9787.53,"2 - 4+ NGS facilities or equivalent",164315,51.97,"0 - High Income*"
"Djibouti","Eastern Mediterranean","1 - Reliable",85.26,"0 - 0 NGS facilities or equivalent",306,9.11,"2 - Connect"
"Dominica","Americas","1 - Reliable",1649.12,"0 - 0 NGS facilities or equivalent",9,637.58,"2 - Connect"
"Dominican Republic","Americas","0 - Unreliable",59.85,"1 - 1-3 NGS facilities or equivalent",319,18.14,"3 - Leverage"
"East Timor","South-East Asia","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",19,48.92,"2 - Connect"
"Ecuador","Americas","1 - Reliable",29.29,"1 - 1-3 NGS facilities or equivalent",1963,7.77,"4 - Strengthen"
"Egypt","Eastern Mediterranean","1 - Reliable",13.94,"1 - 1-3 NGS facilities or equivalent",1018,2.72,"4 - Strengthen"
"El Salvador","Americas","0 - Unreliable",337.26,"1 - 1-3 NGS facilities or equivalent",104,56.03,"3 - Leverage"
"Equatorial Guinea","Africa","0 - Unreliable",60.29,"0 - 0 NGS facilities or equivalent",191,60.8,"2 - Connect"
"Eritrea","Africa","0 - Unreliable",7.13,"0 - 0 NGS facilities or equivalent",0,0.34,"1 - Test"
"Estonia","Europe","1 - Reliable",606.94,"1 - 1-3 NGS facilities or equivalent",5333,229.2,"0 - High Income*"
"Eswatini","Africa","1 - Reliable",148.87,"0 - 0 NGS facilities or equivalent",33,58.44,"2 - Connect"
"Ethiopia","Africa","1 - Reliable",16.85,"0 - 0 NGS facilities or equivalent",33,6.93,"2 - Connect"
"Falkland Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Faroe Islands","Europe","1 - Reliable",3988.98,"0 - 0 NGS facilities or equivalent",42,38.88,"0 - High Income*"
"Fiji","Western Pacific","1 - Reliable",349,"0 - 0 NGS facilities or equivalent",0,111.22,"2 - Connect"
"Finland","Europe","1 - Reliable",419.13,"2 - 4+ NGS facilities or equivalent",16759,56.87,"0 - High Income*"
"France","Europe","1 - Reliable",1057.42,"2 - 4+ NGS facilities or equivalent",89528,83.53,"0 - High Income*"
"French Polynesia","Western Pacific","0 - Unreliable",33.29,"0 - 0 NGS facilities or equivalent",11,0,"0 - High Income*"
"French Southern and Antarctic Lands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Gabon","Africa","1 - Reliable",159.42,"1 - 1-3 NGS facilities or equivalent",292,40.98,"3 - Leverage"
"Georgia","Europe","1 - Reliable",298.64,"1 - 1-3 NGS facilities or equivalent",220,420.61,"3 - Leverage"
"Germany","Europe","1 - Reliable",255.85,"2 - 4+ NGS facilities or equivalent",177418,82.66,"0 - High Income*"
"Ghana","Africa","1 - Reliable",18.98,"1 - 1-3 NGS facilities or equivalent",1274,4.28,"4 - Strengthen"
"Gibraltar","Europe","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",1842,154.34,"0 - High Income*"
"Greece","Europe","1 - Reliable",911.8,"2 - 4+ NGS facilities or equivalent",9233,143.72,"0 - High Income*"
"Greenland","Americas","1 - Reliable",1516.49,"0 - 0 NGS facilities or equivalent",0,98.64,"0 - High Income*"
"Grenada","Americas","0 - Unreliable",88.97,"0 - 0 NGS facilities or equivalent",12,1001.57,"2 - Connect"
"Guam","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",196,372.69,"0 - High Income*"
"Guantanamo Bay Naval Base","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Guatemala","Americas","0 - Unreliable",61.29,"1 - 1-3 NGS facilities or equivalent",724,124.45,"4 - Strengthen"
"Guernsey","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,125.64,"1 - Test"
"Guinea","Africa","0 - Unreliable",32.21,"0 - 0 NGS facilities or equivalent",249,1.27,"1 - Test"
"Guinea-Bissau","Africa","0 - Unreliable",18.02,"0 - 0 NGS facilities or equivalent",48,5.03,"1 - Test"
"Guyana","Americas","1 - Reliable",145.73,"0 - 0 NGS facilities or equivalent",14,185.87,"2 - Connect"
"Haiti","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",95,1.23,"1 - Test"
"Heard Island and McDonald Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Honduras","Americas","0 - Unreliable",33.38,"0 - 0 NGS facilities or equivalent",116,75.31,"1 - Test"
"Hong Kong SAR, China","Western Pacific","1 - Reliable",1183.81,"2 - 4+ NGS facilities or equivalent",4738,NaN,"0 - High Income*"
"Hungary","Europe","1 - Reliable",362.19,"2 - 4+ NGS facilities or equivalent",435,23.25,"0 - High Income*"
"Iceland","Europe","1 - Reliable",601.52,"1 - 1-3 NGS facilities or equivalent",9678,45.31,"0 - High Income*"
"India","South-East Asia","1 - Reliable",161.31,"2 - 4+ NGS facilities or equivalent",56713,15.02,"4 - Strengthen"
"India-Pakistan Line of Control","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Indonesia","South-East Asia","1 - Reliable",98.2,"2 - 4+ NGS facilities or equivalent",6329,9.07,"4 - Strengthen"
"Iran","Eastern Mediterranean","1 - Reliable",158.11,"2 - 4+ NGS facilities or equivalent",600,177.88,"4 - Strengthen"
"Iraq","Eastern Mediterranean","1 - Reliable",808.92,"1 - 1-3 NGS facilities or equivalent",247,71.92,"3 - Leverage"
"Ireland","Europe","1 - Reliable",461.57,"2 - 4+ NGS facilities or equivalent",30566,180.42,"0 - High Income*"
"Isle of Man","Europe","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,178.76,"0 - High Income*"
"Israel","Europe","1 - Reliable",915.81,"2 - 4+ NGS facilities or equivalent",16080,651.04,"0 - High Income*"
"Italy","Europe","1 - Reliable",525.75,"2 - 4+ NGS facilities or equivalent",59408,54.69,"0 - High Income*"
"Ivory Coast","Africa","1 - Reliable",15.09,"0 - 0 NGS facilities or equivalent",236,3.97,"2 - Connect"
"Jamaica","Americas","1 - Reliable",82.9,"0 - 0 NGS facilities or equivalent",177,135.12,"2 - Connect"
"Japan","Western Pacific","1 - Reliable",94.66,"2 - 4+ NGS facilities or equivalent",97456,42.61,"0 - High Income*"
"Jersey","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,153.99,"1 - Test"
"Jordan","Eastern Mediterranean","1 - Reliable",420.65,"2 - 4+ NGS facilities or equivalent",727,50.15,"4 - Strengthen"
"Kazakhstan","Europe","1 - Reliable",277.26,"1 - 1-3 NGS facilities or equivalent",359,113.27,"3 - Leverage"
"Kenya","Africa","1 - Reliable",14.77,"1 - 1-3 NGS facilities or equivalent",2753,5.66,"4 - Strengthen"
"Kiribati","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Kosovo","Europe","0 - Unreliable",508.64,"0 - 0 NGS facilities or equivalent",81,190.51,"2 - Connect"
"Kuwait","Eastern Mediterranean","1 - Reliable",1014.75,"1 - 1-3 NGS facilities or equivalent",266,7.94,"0 - High Income*"
"Kyrgyzstan","Europe","0 - Unreliable",343.93,"0 - 0 NGS facilities or equivalent",0,9.21,"2 - Connect"
"Laos","Western Pacific","1 - Reliable",37.1,"0 - 0 NGS facilities or equivalent",18,18.27,"2 - Connect"
"Latvia","Europe","1 - Reliable",907.58,"1 - 1-3 NGS facilities or equivalent",5509,167.17,"0 - High Income*"
"Lebanon","Eastern Mediterranean","1 - Reliable",283.49,"2 - 4+ NGS facilities or equivalent",1020,65.8,"4 - Strengthen"
"Lesotho","Africa","1 - Reliable",80.5,"0 - 0 NGS facilities or equivalent",18,0,"2 - Connect"
"Liberia","Africa","1 - Reliable",21.09,"0 - 0 NGS facilities or equivalent",44,0,"2 - Connect"
"Libya","Eastern Mediterranean","1 - Reliable",118.1,"0 - 0 NGS facilities or equivalent",22,119.85,"2 - Connect"
"Liechtenstein","Europe","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",109,54.2,"0 - High Income*"
"Lithuania","Europe","1 - Reliable",742.86,"1 - 1-3 NGS facilities or equivalent",17753,246.09,"0 - High Income*"
"Luxembourg","Europe","1 - Reliable",1694.61,"2 - 4+ NGS facilities or equivalent",12752,86.41,"0 - High Income*"
"Macao SAR, China","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"0 - High Income*"
"Madagascar","Africa","1 - Reliable",4.55,"1 - 1-3 NGS facilities or equivalent",122,0,"3 - Leverage"
"Malawi","Africa","1 - Reliable",13.13,"0 - 0 NGS facilities or equivalent",511,1.27,"3 - Leverage"
"Malaysia","Western Pacific","1 - Reliable",284.15,"1 - 1-3 NGS facilities or equivalent",1,403.1,"3 - Leverage"
"Malaysia","Western Pacific","1 - Reliable",284.15,"1 - 1-3 NGS facilities or equivalent",2437,403.1,"4 - Strengthen"
"Maldives","South-East Asia","0 - Unreliable",2230.04,"0 - 0 NGS facilities or equivalent",262,127.09,"2 - Connect"
"Mali","Africa","1 - Reliable",7.03,"1 - 1-3 NGS facilities or equivalent",36,0.2,"3 - Leverage"
"Malta","Europe","1 - Reliable",866.54,"0 - 0 NGS facilities or equivalent",299,52.28,"0 - High Income*"
"Marshall Islands","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Mauritania","Africa","1 - Reliable",53.81,"0 - 0 NGS facilities or equivalent",0,13.72,"2 - Connect"
"Mauritius","Africa","1 - Reliable",391.38,"0 - 0 NGS facilities or equivalent",271,101.43,"0 - High Income*"
"Mexico","Americas","1 - Reliable",33.81,"2 - 4+ NGS facilities or equivalent",26767,61.8,"4 - Strengthen"
"Micronesia","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Moldova","Europe","0 - Unreliable",479.35,"0 - 0 NGS facilities or equivalent",67,137.06,"2 - Connect"
"Monaco","Europe","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",70,63.7,"0 - High Income*"
"Mongolia","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",27,760,"2 - Connect"
"Montenegro","Europe","0 - Unreliable",288.77,"0 - 0 NGS facilities or equivalent",175,658.37,"2 - Connect"
"Montserrat","",NaN,NaN,"0 - 0 NGS facilities or equivalent",4,20,"1 - Test"
"Morocco","Eastern Mediterranean","1 - Reliable",101.76,"2 - 4+ NGS facilities or equivalent",365,40.33,"3 - Leverage"
"Mozambique","Africa","1 - Reliable",15.68,"0 - 0 NGS facilities or equivalent",580,3.58,"3 - Leverage"
"Myanmar","South-East Asia","1 - Reliable",39.42,"1 - 1-3 NGS facilities or equivalent",75,24.88,"3 - Leverage"
"Namibia","Africa","0 - Unreliable",141.67,"0 - 0 NGS facilities or equivalent",248,23.65,"2 - Connect"
"Nauru","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"0 - High Income*"
"Nepal","South-East Asia","0 - Unreliable",65.19,"1 - 1-3 NGS facilities or equivalent",232,21.41,"3 - Leverage"
"Netherlands","Europe","1 - Reliable",474.07,"2 - 4+ NGS facilities or equivalent",61045,89.29,"0 - High Income*"
"New Caledonia","Europe","0 - Unreliable",67.7,"0 - 0 NGS facilities or equivalent",0,418.92,"0 - High Income*"
"New Zealand","Western Pacific","1 - Reliable",413.78,"2 - 4+ NGS facilities or equivalent",2317,3.15,"0 - High Income*"
"Nicaragua","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,7.74,"1 - Test"
"Niger","Africa","1 - Reliable",2.52,"0 - 0 NGS facilities or equivalent",24,0.14,"2 - Connect"
"Nigeria","Africa","1 - Reliable",5.75,"2 - 4+ NGS facilities or equivalent",1806,1.61,"4 - Strengthen"
"Niue","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Norfolk Island","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"North Korea","South-East Asia","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"North Korea-South Korea Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"North Macedonia","Europe","1 - Reliable",280.8,"1 - 1-3 NGS facilities or equivalent",699,157.1,"4 - Strengthen"
"Northern Mariana Islands","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",152,15.64,"0 - High Income*"
"Norway","Europe","1 - Reliable",481.11,"2 - 4+ NGS facilities or equivalent",23982,120.56,"0 - High Income*"
"Oman","Eastern Mediterranean","1 - Reliable",77.59,"2 - 4+ NGS facilities or equivalent",794,7.85,"0 - High Income*"
"Pakistan","Eastern Mediterranean","1 - Reliable",26.08,"2 - 4+ NGS facilities or equivalent",961,10.26,"4 - Strengthen"
"Palau","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,16.58,"0 - High Income*"
"Palestine","Eastern Mediterranean","0 - Unreliable",242.23,"0 - 0 NGS facilities or equivalent",132,261.34,"2 - Connect"
"Panama","Americas","1 - Reliable",302.19,"2 - 4+ NGS facilities or equivalent",896,52.63,"0 - High Income*"
"Papua New Guinea","Western Pacific","0 - Unreliable",11.91,"0 - 0 NGS facilities or equivalent",563,2.27,"1 - Test"
"Paraguay","Americas","1 - Reliable",111.74,"0 - 0 NGS facilities or equivalent",242,5.8,"2 - Connect"
"Peru","Americas","1 - Reliable",187.53,"2 - 4+ NGS facilities or equivalent",5264,17.72,"4 - Strengthen"
"Philippines","Western Pacific","1 - Reliable",68.69,"1 - 1-3 NGS facilities or equivalent",5329,131.35,"4 - Strengthen"
"Pitcairn Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Poland","Europe","0 - Unreliable",219.79,"2 - 4+ NGS facilities or equivalent",19422,10.1,"0 - High Income*"
"Portugal","Europe","1 - Reliable",633.68,"2 - 4+ NGS facilities or equivalent",16410,74.09,"0 - High Income*"
"Puerto Rico","Americas","1 - Reliable",NaN,"1 - 1-3 NGS facilities or equivalent",2846,92.63,"0 - High Income*"
"Qatar","Eastern Mediterranean","1 - Reliable",226.34,"2 - 4+ NGS facilities or equivalent",2963,33.56,"0 - High Income*"
"Republic of the Congo","Africa","1 - Reliable",17.51,"0 - 0 NGS facilities or equivalent",234,0,"2 - Connect"
"Romania","Europe","1 - Reliable",252.18,"1 - 1-3 NGS facilities or equivalent",2139,111.99,"0 - High Income*"
"Russia","Europe","1 - Reliable",366.36,"2 - 4+ NGS facilities or equivalent",7719,89.24,"0 - High Income*"
"Rwanda","Africa","1 - Reliable",118.94,"0 - 0 NGS facilities or equivalent",485,22.96,"2 - Connect"
"Saint Helena","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Saint Kitts and Nevis","Americas","0 - Unreliable",438.68,"0 - 0 NGS facilities or equivalent",13,462.48,"0 - High Income*"
"Saint Lucia","Americas","0 - Unreliable",143.13,"0 - 0 NGS facilities or equivalent",43,448.74,"2 - Connect"
"Saint Martin","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",10,297.47,"0 - High Income*"
"Saint Pierre and Miquelon","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Saint Vincent and the Grenadines","Americas","0 - Unreliable",224.98,"0 - 0 NGS facilities or equivalent",15,153.24,"2 - Connect"
"Saint-Barthélemy","",NaN,NaN,"0 - 0 NGS facilities or equivalent",5,60.7,"1 - Test"
"Samoa","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"San Marino","Europe","1 - Reliable",1637.06,"0 - 0 NGS facilities or equivalent",0,123.76,"0 - High Income*"
"São Tomé and Príncipe","Africa","0 - Unreliable",62.82,"0 - 0 NGS facilities or equivalent",0,83.96,"2 - Connect"
"Saudi Arabia","Eastern Mediterranean","1 - Reliable",291.72,"2 - 4+ NGS facilities or equivalent",1096,1.8,"0 - High Income*"
"Senegal","Africa","1 - Reliable",19.31,"1 - 1-3 NGS facilities or equivalent",533,1.37,"4 - Strengthen"
"Serbia","Europe","1 - Reliable",212.91,"1 - 1-3 NGS facilities or equivalent",294,634.99,"3 - Leverage"
"Seychelles","Africa","1 - Reliable",338.74,"0 - 0 NGS facilities or equivalent",0,0,"0 - High Income*"
"Sierra Leone","Africa","0 - Unreliable",10.27,"1 - 1-3 NGS facilities or equivalent",36,0.15,"1 - Test"
"Singapore","Western Pacific","1 - Reliable",1278.43,"2 - 4+ NGS facilities or equivalent",6976,74.46,"0 - High Income*"
"Sint Maarten (Dutch part)","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",1430,310.15,"0 - High Income*"
"Slovakia","Europe","1 - Reliable",17251.35,"1 - 1-3 NGS facilities or equivalent",1,54.34,"0 - High Income*"
"Slovakia","Europe","1 - Reliable",17251.35,"1 - 1-3 NGS facilities or equivalent",6554,54.34,"0 - High Income*"
"Slovenia","Europe","1 - Reliable",3345.26,"2 - 4+ NGS facilities or equivalent",19800,319.77,"0 - High Income*"
"Solomon Islands","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Somalia","Eastern Mediterranean","0 - Unreliable",7.47,"0 - 0 NGS facilities or equivalent",37,3.91,"1 - Test"
"South Africa","Africa","1 - Reliable",101.95,"2 - 4+ NGS facilities or equivalent",18241,54.68,"4 - Strengthen"
"South Georgia and the South Sandwich Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"South Korea","Western Pacific","1 - Reliable",95.55,"2 - 4+ NGS facilities or equivalent",13508,24.3,"0 - High Income*"
"South Sudan","Africa","1 - Reliable",14.4,"0 - 0 NGS facilities or equivalent",88,1.75,"2 - Connect"
"Spain","Europe","1 - Reliable",555.57,"2 - 4+ NGS facilities or equivalent",62672,38.5,"0 - High Income*"
"Sri Lanka","South-East Asia","1 - Reliable",71.64,"1 - 1-3 NGS facilities or equivalent",1247,87.74,"4 - Strengthen"
"Sudan","Eastern Mediterranean","0 - Unreliable",5.39,"0 - 0 NGS facilities or equivalent",0,0.15,"1 - Test"
"Suriname","Americas","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",627,553.16,"3 - Leverage"
"Sweden","Europe","1 - Reliable",476.54,"2 - 4+ NGS facilities or equivalent",101866,73.96,"0 - High Income*"
"Switzerland","Europe","1 - Reliable",389.11,"2 - 4+ NGS facilities or equivalent",59809,138.62,"0 - High Income*"
"Syria","Eastern Mediterranean","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,5.66,"1 - Test"
"Taiwan","Western Pacific","1 - Reliable",215.97,"2 - 4+ NGS facilities or equivalent",244,NaN,"0 - High Income*"
"Tajikistan","Europe","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0.44,"1 - Test"
"Tanzania","Africa","1 - Reliable",0.77,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Thailand","South-East Asia","1 - Reliable",69.69,"1 - 1-3 NGS facilities or equivalent",3065,137.09,"4 - Strengthen"
"The Bahamas","Americas","1 - Reliable",126.96,"0 - 0 NGS facilities or equivalent",61,166.82,"0 - High Income*"
"The Gambia","Africa","1 - Reliable",28.47,"1 - 1-3 NGS facilities or equivalent",687,3.23,"4 - Strengthen"
